epoch;loss
0;5.501684188842773
1;4.511433124542236
2;4.065647602081299
3;3.9230833053588867
4;3.868333101272583
5;3.8502492904663086
6;3.8358120918273926
7;3.8210041522979736
8;3.810532808303833
9;3.8210792541503906
10;3.795212984085083
11;3.781583070755005
12;3.779391288757324
13;3.7645328044891357
14;3.7351362705230713
15;3.707036018371582
16;3.6782467365264893
17;3.6603219509124756
18;3.609745502471924
19;3.579824209213257

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 3s 3s/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 34ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 33ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 32ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 21ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 21ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 33ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 31ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 22ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 28ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 28ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 23ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 25ms/step

1/1 [==============================] - ETA: 0s
