epoch;loss
0;1.8443015813827515
1;1.823465347290039
2;1.8156064748764038
3;1.8111155033111572
4;1.8076468706130981
5;1.805076003074646
6;1.803252935409546
7;1.8019862174987793
8;1.8008514642715454
9;1.7999746799468994
10;1.7991492748260498

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 4s 4s/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 31ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 31ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 51ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 38ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 26ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 38ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 43ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 28ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 28ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 39ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 38ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 32ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 29ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 27ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 34ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 45ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 33ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 31ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 49ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 44ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 35ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 32ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 32ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 35ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 30ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 24ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 31ms/step

1/1 [==============================] - ETA: 0s
1/1 [==============================] - 0s 32ms/step

